trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
323, 273, 15.170279, 0.1,0.09969135802469135, 0.08425925925925926
690, 507, 26.666666, 0.2,0.21296296296296297, 0.15648148148148147
989, 685, 30.637007, 0.3,0.3052469135802469, 0.21141975308641975
1287, 729, 43.356644, 0.4,0.3972222222222222, 0.225
1625, 796, 51.015385, 0.5,0.5015432098765432, 0.24567901234567902
1894, 813, 57.074974, 0.6,0.5845679012345679, 0.25092592592592594
2291, 964, 57.878654, 0.7,0.7070987654320988, 0.2975308641975309
2520, 1190, 52.857143, 0.8,0.7777777777777778, 0.36728395061728397
2735, 1947, 28.884827, 0.9,0.8441358024691358, 0.600925925925926
2761, 2092, 24.194132, 1.0,0.8521604938271605, 0.645679012345679
2851, 2114, 25.920729, 1.1,0.8794982510293461, 0.6521428630922615
2792, 2155, 22.815186, 1.2,0.8617283950617284, 0.6651234567901234
2848, 2230, 21.804775, 1.3,0.8790123456790123, 0.6882716049382716
2726, 2371, 13.022744, 1.4,0.841358024691358, 0.7317901234567902
2808, 2293, 18.340456, 1.5,0.8666666666666667, 0.707716049382716
