{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.100, 0177.000, 0813.000, 0000.095, 0001.083, 0000.095, 0636.000, 0000.074, 0813.000, 0000.218
0000.200, 0644.000, 1717.000, 0000.200, 0001.059, 0000.200, 1071.000, 0000.125, 1717.000, 0000.375
0000.300, 1246.000, 2526.000, 0000.295, 0001.056, 0000.295, 1279.000, 0000.149, 2526.000, 0000.493
0000.400, 1940.000, 3396.000, 0000.392, 0001.074, 0000.392, 1456.000, 0000.168, 3396.000, 0000.571
0000.500, 2822.000, 4203.000, 0000.490, 0001.061, 0000.490, 1381.000, 0000.161, 4203.000, 0000.671
0000.600, 3412.000, 5037.000, 0000.588, 0001.059, 0000.588, 1624.000, 0000.190, 5037.000, 0000.677
0000.700, 4036.000, 5855.000, 0000.676, 0001.051, 0000.676, 1819.000, 0000.210, 5855.000, 0000.689
0000.800, 4451.000, 6789.000, 0000.792, 0001.074, 0000.792, 2335.000, 0000.272, 6789.000, 0000.656
0000.900, 4064.000, 7384.000, 0000.862, 0001.070, 0000.862, 3318.000, 0000.387, 7384.000, 0000.550
0001.000, 3402.000, 7356.000, 0000.858, 0001.072, 0000.858, 3951.000, 0000.461, 7355.000, 0000.463
