{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.100, 0196.000, 0846.000, 0000.099, 0000.898, 0000.099, 0650.000, 0000.076, 0846.000, 0000.232
0000.200, 0598.000, 1751.000, 0000.204, 0000.957, 0000.204, 1153.000, 0000.135, 1751.000, 0000.342
0000.300, 1294.000, 2593.000, 0000.303, 0001.041, 0000.303, 1298.000, 0000.151, 2593.000, 0000.499
0000.400, 2134.000, 3469.000, 0000.405, 0001.128, 0000.405, 1332.000, 0000.155, 3469.000, 0000.615
0000.500, 2928.000, 4277.000, 0000.499, 0001.188, 0000.499, 1347.000, 0000.157, 4277.000, 0000.685
0000.600, 3385.000, 5154.000, 0000.601, 0001.148, 0000.601, 1767.000, 0000.206, 5154.000, 0000.657
0000.700, 3290.000, 5952.000, 0000.694, 0001.040, 0000.694, 2661.000, 0000.311, 5952.000, 0000.553
0000.800, 2515.000, 6578.000, 0000.760, 0000.929, 0000.760, 4062.000, 0000.469, 6578.000, 0000.382
0000.900, 2484.000, 6865.000, 0000.801, 0000.899, 0000.801, 4378.000, 0000.511, 6865.000, 0000.362
0001.000, 2848.000, 7040.000, 0000.821, 0000.987, 0000.821, 4188.000, 0000.489, 7040.000, 0000.405
