trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
485, 483, 0.41237113, 0.1,0.14969135802469136, 0.14907407407407408
504, 504, 0.0, 0.2,0.15555555555555556, 0.15555555555555556
504, 504, 0.0, 0.3,0.15555555555555556, 0.15555555555555556
501, 501, 0.0, 0.4,0.15462962962962962, 0.15462962962962962
498, 498, 0.0, 0.5,0.15367851750222417, 0.15367851750222417
501, 501, 0.0, 0.6,0.15462962962962962, 0.15462962962962962
498, 498, 0.0, 0.7,0.1537037037037037, 0.1537037037037037
498, 498, 0.0, 0.8,0.1537037037037037, 0.1537037037037037
501, 502, 0.0, 0.9,0.15462962962962962, 0.15493827160493828
500, 496, 0.6, 1.0,0.15432098765432098, 0.15308641975308643
500, 499, 0.0, 1.1,0.15432098765432098, 0.15401234567901234
503, 501, 0.19880715, 1.2,0.15524691358024692, 0.15462962962962962
498, 498, 0.0, 1.3,0.1537037037037037, 0.1537037037037037
506, 506, 0.0, 1.4,0.15617283950617283, 0.15617283950617283
492, 491, 0.20325203, 1.5,0.15185185185185185, 0.1515432098765432
